[Sun Mar 22 01:17:01 2015] [notice] Digest: generating secret for digest authentication ...
[Sun Mar 22 01:17:01 2015] [notice] Digest: done
[Sun Mar 22 01:17:01 2015] [notice] Apache/2.2.15 (Unix) DAV/2 PHP/5.4.34 configured -- resuming normal operations
[Mon Mar 23 15:15:00 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:00 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:00 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:10 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:20 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:30 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:41 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:15:51 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:01 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:12 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 7, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 9, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 10, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:23 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_fetch_all() expects parameter 1 to be mysqli_result, null given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 11, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:33 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_connect(): (HY000/2002): No such file or directory in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 2, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:33 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 5, referer: http://109.70.1.126/barningEvents/overzicht.php
[Mon Mar 23 15:16:33 2015] [error] [client 80.60.95.53] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /var/www/html/web/barningEvents/bloemencorso/get-vehicles.php on line 6, referer: http://109.70.1.126/barningEvents/overzicht.php
